address,close_hour,detail_url,latitude,longitude,name,open_hour,point,postal_code,reviews,url
川崎市高津区二子4-1-6  グランドール高津 2F,22:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E9%25A4%2583%25E5%25AD%2590%25E3%2583%258F%25E3%2583%25AB%25E3%2583%25A9%25E3%2583%25B3%25E3%2582%25BF%25E3%2583%25B3-%25E9%25AB%2598%25E6%25B4%25A5%25E9%25A7%2585%25E5%2589%258D%25E5%25BA%2597-gyouza-bar-lantern/XybKPBxlStuoRnBU-7cnTQ/location-and-hours/,35.60287043275762,139.61719009404183,餃子バルランタン 高津駅前店 Gyouza Bar Lantern,12:00,4.1,,25,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E9%A4%83%E5%AD%90%E3%83%8F%E3%83%AB%E3%83%A9%E3%83%B3%E3%82%BF%E3%83%B3-%E9%AB%98%E6%B4%A5%E9%A7%85%E5%89%8D%E5%BA%97-gyouza-bar-lantern/XybKPBxlStuoRnBU-7cnTQ/
神奈川県川崎市高津区溝口1-12-1  大久保ビル 2F Yokohama,23:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E9%25AA%25A8%25E4%25BB%2598%25E3%2581%258D%25E8%2582%2589%25C3%2597%25E3%2583%25AF%25E3%2582%25A4%25E3%2583%25B3%25E3%2583%258F%25E3%2583%25AB-grill-meat-factory-%25E6%25BA%259D%25E3%2581%25AE%25E5%258F%25A3%25E5%25BA%2597-grill-meat-factory/Seky06J-Sha0wIIFlocyyg/location-and-hours/,35.6005089,139.6118769,骨付き肉×ワインバル GRILL MEAT FACTORY 溝の口店 GRILL MEAT FACTORY,17:00,3.6,213-0001,13,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E9%AA%A8%E4%BB%98%E3%81%8D%E8%82%89%C3%97%E3%83%AF%E3%82%A4%E3%83%B3%E3%83%8F%E3%83%AB-grill-meat-factory-%E6%BA%9D%E3%81%AE%E5%8F%A3%E5%BA%97-grill-meat-factory/Seky06J-Sha0wIIFlocyyg/
神奈川県 川崎市 中原区 下小田中 1-5-25 Kanagawa,21:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E9%25A0%2582-%25E4%25B8%25BC%25E4%25B8%25B8-itadaki-donmaru/TtbJFAFKSwOhdiZE8oRxEA/location-and-hours/,35.5811182,139.6398493,頂 丼丸 Itadaki Donmaru,11:00,4.4,211-0041,50,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E9%A0%82-%E4%B8%BC%E4%B8%B8-itadaki-donmaru/TtbJFAFKSwOhdiZE8oRxEA/
川崎市高津区 梶ケ谷2-1-14 1F Kawasaki,22:30,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2583%258A%25E3%2583%259E%25E3%2582%25B9%25E3%2583%2586%25E3%2583%2592%25E3%2583%259E%25E3%2583%25A9%25E3%2583%25A4-%25E6%25A2%25B6%25E3%2583%25B6%25E8%25B0%25B7%25E5%25BA%2597-namaste-himalaya-kajigaya/IzaXKbwjTo6N4j5-Fys5Qw/location-and-hours/,35.5909403,139.6042576,ナマステヒマラヤ 梶ヶ谷店 Namaste Himalaya Kajigaya,11:00,4.7,213-0015,51,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%8A%E3%83%9E%E3%82%B9%E3%83%86%E3%83%92%E3%83%9E%E3%83%A9%E3%83%A4-%E6%A2%B6%E3%83%B6%E8%B0%B7%E5%BA%97-namaste-himalaya-kajigaya/IzaXKbwjTo6N4j5-Fys5Qw/
川崎市中原区新丸子東1-827 YM新丸子1F,23:55,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E9%25AD%259A%25E3%2582%25BF%25E3%2582%25A4%25E3%2583%258B%25E3%2583%25B3%25E3%2582%25AFjin-sakana-dining-jin/29-WznFeQI-VpQj6ZY7t-w/location-and-hours/,35.58023652485256,139.66324782926563,魚ダイニングJin sakana dining Jin,12:30,4.6,,32,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E9%AD%9A%E3%82%BF%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%AFjin-sakana-dining-jin/29-WznFeQI-VpQj6ZY7t-w/
３丁目 小杉町 中原区 川崎市 神奈川県,21:30,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2583%2595%25E3%2583%25A9%25E3%2583%2583%25E3%2582%25B9%25E3%2583%25AA%25E3%2583%25BC-%25E3%2583%25A0%25E3%2583%25BC-brasserie-muh/akZLodD_Q22hr--P5ph7UA/location-and-hours/,35.573823,139.658625,ブラッスリー ムー Brasserie Muh,12:00,3.9,211-0063,16,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%95%E3%83%A9%E3%83%83%E3%82%B9%E3%83%AA%E3%83%BC-%E3%83%A0%E3%83%BC-brasserie-muh/akZLodD_Q22hr--P5ph7UA/
中原区新丸子町915 Yokohama,22:30,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2582%25BF%25E3%2582%25A4%25E5%25B1%258B%25E5%258F%25B0%25E5%25B1%2585%25E9%2585%2592%25E5%25B1%258B%25E3%2583%258F%25E3%2582%25AB%25E3%2582%25BD%25E3%2582%25A6%25E3%2583%25AB%25E3%2582%25A2%25E3%2582%25B7%25E3%2582%25A2-%25E6%25AD%25A6%25E8%2594%25B5%25E5%25B0%258F%25E6%259D%2589-bakasoul-asia-musashi-kosugi/IWk0nAixTUW0s4scy5MXUw/location-and-hours/,35.5778875,139.6603141,タイ屋台居酒屋バカソウルアジア 武蔵小杉 Bakasoul Asia Musashi-Kosugi,12:00,4.3,211-0005,42,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%BF%E3%82%A4%E5%B1%8B%E5%8F%B0%E5%B1%85%E9%85%92%E5%B1%8B%E3%83%8F%E3%82%AB%E3%82%BD%E3%82%A6%E3%83%AB%E3%82%A2%E3%82%B7%E3%82%A2-%E6%AD%A6%E8%94%B5%E5%B0%8F%E6%9D%89-bakasoul-asia-musashi-kosugi/IWk0nAixTUW0s4scy5MXUw/
神奈川県川崎市高津区溝の口2-12-10  2F,22:30,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E7%25AA%25AF%25E7%2584%25BC%25E3%2581%258D%25E3%2583%2592%25E3%2582%25B5-nigo-kamayakipizza-nigo/AK56K7nvQXSFjMJ0Y8FNVA/location-and-hours/,35.601084,139.611894,窯焼きピザ NIGO Kamayakipizza NIGO,11:30,3.9,,32,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E7%AA%AF%E7%84%BC%E3%81%8D%E3%83%92%E3%82%B5-nigo-kamayakipizza-nigo/AK56K7nvQXSFjMJ0Y8FNVA/
神奈川県川崎市中原区木月４丁目３８－４ ビージェネテック２Ｆ,22:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2582%25AF%25E3%2583%25A9%25E3%2583%2583%25E3%2583%2581%25E3%2582%25A7%25E3%2582%25AB%25E3%2583%25BC%25E3%2583%2586%25E3%2583%25B3%25E3%2582%25B9-%25E5%25B7%259D%25E5%25B4%258E%25E6%259C%25A8%25E6%259C%2588%25E5%25BA%2597-grazie-gardens-kawasaki-kizuki/hTCzc94KRLCrDXKrjL3jjg/location-and-hours/,35.5590738,139.6526413,グラッチェガーデンズ 川崎木月店 Grazie Gardens Kawasaki Kizuki,10:30,4.4,211-0025,34,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%AF%E3%83%A9%E3%83%83%E3%83%81%E3%82%A7%E3%82%AB%E3%83%BC%E3%83%86%E3%83%B3%E3%82%B9-%E5%B7%9D%E5%B4%8E%E6%9C%A8%E6%9C%88%E5%BA%97-grazie-gardens-kawasaki-kizuki/hTCzc94KRLCrDXKrjL3jjg/
神奈川県川崎市中原区下沼部1771,23:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E7%25AB%25B9%25E3%2581%25A8%25E3%2582%2593%25E3%2581%25BB-taketonbo/X47MK5baSEWOSu6SZXpUaw/location-and-hours/,35.572309017401345,139.66799016666255,竹とんぼ Taketonbo,16:00,4.6,,46,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E7%AB%B9%E3%81%A8%E3%82%93%E3%81%BB-taketonbo/X47MK5baSEWOSu6SZXpUaw/
