address,close_hour,latitude,longitude,name,open_hour,point,postal_code,reviews,url
神奈川県川崎市高津区明津２３６－３,22:00,35.5670061,139.6376503,ガスト 新川崎明津店  Gusto Shinkawasaki Akutsu,10:30,4.5,213-0024,44,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%AB%E3%82%B9%E3%83%88-%E6%96%B0%E5%B7%9D%E5%B4%8E%E6%98%8E%E6%B4%A5%E5%BA%97-gusto-shinkawasaki-akutsu/WH6mOH_ATIqVbsk8EgchdA/
神奈川県川崎市中原区下新城２−６−１,22:00,35.5781014,139.6331639,ピザハット 下新城 Pizza Hut SHIMOSHINNJOU,11:00,4.5,211-0042,159,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%92%E3%82%B5%E3%83%8F%E3%83%83%E3%83%88-%E4%B8%8B%E6%96%B0%E5%9F%8E-pizza-hut-shimoshinnjou/sopRqEHlRpybq4IhG6S79w/
神奈川県川崎市高津区北見方３丁目６－３３,22:00,35.597229,139.63181,バーミヤン 川崎北見方店 Bamiyan Kawasaki Kitamigata,10:30,4.2,213-0005,91,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%8F%E3%83%BC%E3%83%9F%E3%83%A4%E3%83%B3-%E5%B7%9D%E5%B4%8E%E5%8C%97%E8%A6%8B%E6%96%B9%E5%BA%97-bamiyan-kawasaki-kitamigata/LNCT4I2IR8iq2Cz8W4WoXg/
神奈川県 川崎市 中原区 下小田中 1-5-25 Kanagawa,21:00,35.5811182,139.6398493,頂 丼丸 Itadaki Donmaru,11:00,4.4,211-0041,50,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E9%A0%82-%E4%B8%BC%E4%B8%B8-itadaki-donmaru/TtbJFAFKSwOhdiZE8oRxEA/
神奈川県川崎市中原区宮内4-7-19 Kanagawa,21:00,35.5840971,139.6468688,和食さと 川崎等々力 Washoku Sato Kawasakitodoroki,11:00,3.9,211-0051,41,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E5%92%8C%E9%A3%9F%E3%81%95%E3%81%A8-%E5%B7%9D%E5%B4%8E%E7%AD%89%E3%80%85%E5%8A%9B-washoku-sato-kawasakitodoroki/hT04UgaDRFmBaZuSA8-v4A/
神奈川県川崎市高津区溝口１－１－５ ホテルメッツ溝ノ口２Ｆ,22:00,35.599306,139.610473,デニーズ 溝ノ口駅前 Denny's MIZONOKUCHIEKIMAE,11:00,4.2,213-0001,75,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%86%E3%83%8B%E3%83%BC%E3%82%B9-%E6%BA%9D%E3%83%8E%E5%8F%A3%E9%A7%85%E5%89%8D-dennys-mizonokuchiekimae/dSHxDsu2QTGPMTYhkxnKRQ/
川崎市高津区 溝口4-2-1 Kawasaki,21:00,35.6034854,139.6171411,三崎丼丸 高津店 Misaki Donmaru Takatsu-ten,11:00,4.5,213-0001,97,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E4%B8%89%E5%B4%8E%E4%B8%BC%E4%B8%B8-%E9%AB%98%E6%B4%A5%E5%BA%97-misaki-donmaru-takatsu-ten/uQMBI95YSteG186gcMuOMA/
Nakahara-Ku Kizuki 3 Chome−6 モトスミコア Kawasaki-Shi Kanagawa-ken,18:00,35.565569,139.650829,イクミママのどうぶつドーナツ！ Ikumimama Animal Donuts,10:00,,211-0025,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%A4%E3%82%AF%E3%83%9F%E3%83%9E%E3%83%9E%E3%81%AE%E3%81%A8%E3%81%86%E3%81%B5%E3%81%A4%E3%83%88%E3%83%BC%E3%83%8A%E3%83%84!-ikumimama-animal-donuts/Wbxb-076T2ifefItrHF3cQ/
神奈川県川崎市宮前区野川１２３３,22:00,35.5726885,139.6147273,ガスト 野川店 Gusto Nogawa,10:30,4.4,216-0001,46,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%AB%E3%82%B9%E3%83%88-%E9%87%8E%E5%B7%9D%E5%BA%97-gusto-nogawa/LBuDcES1TRaNZlarMciPag/
神奈川県川崎市高津区溝口1-12-1  大久保ビル 2F Yokohama,23:00,35.6005089,139.6118769,骨付き肉×ワインバル GRILL MEAT FACTORY 溝の口店 GRILL MEAT FACTORY,17:00,3.6,213-0001,13,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E9%AA%A8%E4%BB%98%E3%81%8D%E8%82%89%C3%97%E3%83%AF%E3%82%A4%E3%83%B3%E3%83%8F%E3%83%AB-grill-meat-factory-%E6%BA%9D%E3%81%AE%E5%8F%A3%E5%BA%97-grill-meat-factory/Seky06J-Sha0wIIFlocyyg/
神奈川県川崎市高津区溝口1-16-11,22:00,35.6007704,139.6135786,てけてけ 溝の口店 Teketeke MIZONOKUCHITENN,17:00,4.4,213-0001,43,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%A6%E3%81%91%E3%81%A6%E3%81%91-%E6%BA%9D%E3%81%AE%E5%8F%A3%E5%BA%97-teketeke-mizonokuchitenn/y3VlsNKNTRS5O6TR8ghCEQ/
神奈川県川崎市中原区小杉町3-430-22 コパンビル5Ｆ,23:00,35.5744906,139.6586539,木村屋本店 武蔵小杉店 Kimuraya Honten MUSASHIKOSUGI,16:00,4.5,211-0063,22,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E6%9C%A8%E6%9D%91%E5%B1%8B%E6%9C%AC%E5%BA%97-%E6%AD%A6%E8%94%B5%E5%B0%8F%E6%9D%89%E5%BA%97-kimuraya-honten-musashikosugi/9PDjRGm5S3yEYyelASZ1AA/
中原区新城３丁目９−３ Yokohama,19:30,35.5852164,139.6305792,あおぞらマルシェ 武蔵新城店 Aozoramarche MusashiShinjo-Shop,11:00,4.4,211-0044,36,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%82%E3%81%8A%E3%81%9D%E3%82%89%E3%83%9E%E3%83%AB%E3%82%B7%E3%82%A7-%E6%AD%A6%E8%94%B5%E6%96%B0%E5%9F%8E%E5%BA%97-aozoramarche-musashishinjo-shop/ixb-S163TsmKVDH7MR-0Ng/?promo=35b94ad4-86c2-4388-a714-f44df2a3a700
神奈川県横浜市港北区日吉3-2-15 Kanagawa,22:00,35.5574719,139.6499443,キッチン オリジン 日吉 Kitchen Origin Hiyoshi,10:00,4.2,223-0061,32,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E6%97%A5%E5%90%89-kitchen-origin-hiyoshi/myJbQoxgT6qVhAyhEieleg/
神奈川県川崎市高津区溝口1-15-5 1FA画,21:00,35.60051334992541,139.61361743956124,TAPIRU 溝の口店 TAPIRU MIZONOKUCHI,11:00,4.4,,87,https://www.ubereats.com/ja-JP/yokohama/food-delivery/tapiru-%E6%BA%9D%E3%81%AE%E5%8F%A3%E5%BA%97-tapiru-mizonokuchi/WUnRH2zkRt-nwxMXIB-N8Q/
神奈川県川崎市中原区上平間1700-125 Kanagawa,21:00,35.5596316,139.6754851,神保町ビーフ 平間 Jinbocho Beef Hirama,11:00,4.6,211-0013,19,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E7%A5%9E%E4%BF%9D%E7%94%BA%E3%83%92%E3%83%BC%E3%83%95-%E5%B9%B3%E9%96%93-jinbocho-beef-hirama/5B7AEHyFSu6HrdH0-wSgFw/
神奈川県川崎市中原区上小田中４－２－１,23:00,35.581376,139.640982,マクドナルド ビーンズ武蔵中原店 McDonald's BEANS MUSASHI NAKAHARA,10:30,4.5,2110053,500,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%9E%E3%82%AF%E3%83%88%E3%83%8A%E3%83%AB%E3%83%88-%E3%83%92%E3%83%BC%E3%83%B3%E3%82%B9%E6%AD%A6%E8%94%B5%E4%B8%AD%E5%8E%9F%E5%BA%97-mcdonalds-beans-musashi-nakahara/7DKpURPwQByeEmOn-NOyUw/
神奈川県川崎市中原区下小田中１－２８－１,20:45,35.5792816,139.639078,マクドナルド 武蔵中原マルエツ店 McDonald's MUSASHI NAKAHARA MARUETSU,10:30,4.5,2110041,261,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%9E%E3%82%AF%E3%83%88%E3%83%8A%E3%83%AB%E3%83%88-%E6%AD%A6%E8%94%B5%E4%B8%AD%E5%8E%9F%E3%83%9E%E3%83%AB%E3%82%A8%E3%83%84%E5%BA%97-mcdonalds-musashi-nakahara-maruetsu/e4XtNyZCRxKJTopwKAbLCw/
神奈川県川崎市中原区新城３－２－１６,23:00,35.586586,139.629997,マクドナルド 武蔵新城店 McDonald's MUSASHI SHINJO,10:30,4.5,2110044,500,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%9E%E3%82%AF%E3%83%88%E3%83%8A%E3%83%AB%E3%83%88-%E6%AD%A6%E8%94%B5%E6%96%B0%E5%9F%8E%E5%BA%97-mcdonalds-musashi-shinjo/9UpEn7QgQ4K78ItzftBY-w/
