address,close_hour,id,latitude,longitude,name,open_hour,point,postal_code,reviews,url
神奈川県川崎市高津区二子４－８－２,22:00,LkdIwGPRRW-UokIVbd_UuA,35.6022618,139.6189584,デニーズ 高津店 Denny's TAKATSU,11:00,4.2,213-0002,143,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%86%E3%83%8B%E3%83%BC%E3%82%B9-%E9%AB%98%E6%B4%A5%E5%BA%97-dennys-takatsu/LkdIwGPRRW-UokIVbd_UuA/
Takatsu-Ku Mizonokuchi 1 Chome−12 永原ビル２F Kawasaki-Shi Kanagawa-ken,23:59,1eDHvzwlRUysFvDPvLr_hQ,35.600539,139.612141,溝の口焼肉 にく野郎 Mizonokuchi Yakiniku Nikuyaro,12:00,4.3,213-0000,114,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E6%BA%9D%E3%81%AE%E5%8F%A3%E7%84%BC%E8%82%89-%E3%81%AB%E3%81%8F%E9%87%8E%E9%83%8E-mizonokuchi-yakiniku-nikuyaro/1eDHvzwlRUysFvDPvLr_hQ/
Takatsu-Ku Futago 4 Chome−1−２ 中興ビルb1f Kawasaki-Shi Kanagawa-ken,23:00,LijCZj7TQSCduPeGXeuHsA,35.602984,139.616892,べこまる 高津総本家 Bekomaru TAKATSU SOHONKE,11:30,4.4,213-0002,85,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%B8%E3%81%93%E3%81%BE%E3%82%8B-%E9%AB%98%E6%B4%A5%E7%B7%8F%E6%9C%AC%E5%AE%B6-bekomaru-takatsu-sohonke/LijCZj7TQSCduPeGXeuHsA/
川崎市高津区 梶ケ谷2-1-14 1F Kawasaki,22:30,IzaXKbwjTo6N4j5-Fys5Qw,35.5909403,139.6042576,ナマステヒマラヤ 梶ヶ谷店 Namaste Himalaya Kajigaya,11:00,4.7,213-0015,53,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%8A%E3%83%9E%E3%82%B9%E3%83%86%E3%83%92%E3%83%9E%E3%83%A9%E3%83%A4-%E6%A2%B6%E3%83%B6%E8%B0%B7%E5%BA%97-namaste-himalaya-kajigaya/IzaXKbwjTo6N4j5-Fys5Qw/
神奈川県川崎市中原区下沼部1771,23:00,X47MK5baSEWOSu6SZXpUaw,35.572309017401345,139.66799016666255,竹とんぼ Taketonbo,16:00,4.6,,47,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E7%AB%B9%E3%81%A8%E3%82%93%E3%81%BB-taketonbo/X47MK5baSEWOSu6SZXpUaw/
神奈川県川崎市幸区南加瀬４丁目３０－１５,22:00,wtlknou6RZW-JNEBXt8gXg,35.5420965,139.6613878,夢庵 南加瀬店 Yumean Minami Kase,10:30,4.5,212-0055,54,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E5%A4%A2%E5%BA%B5-%E5%8D%97%E5%8A%A0%E7%80%AC%E5%BA%97-yumean-minami-kase/wtlknou6RZW-JNEBXt8gXg/
Nakahara-Ku Kizuki 2 Chome−5 Kawasaki-Shi Kanagawa-ken,22:30,cNFo-EboRPGoyh8TLWczhw,35.564629,139.654879,焼肉 のんちゃん Yakiniku Nonchan,11:00,4.4,211-0025,73,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E7%84%BC%E8%82%89-%E3%81%AE%E3%82%93%E3%81%A1%E3%82%83%E3%82%93-yakiniku-nonchan/cNFo-EboRPGoyh8TLWczhw/
横浜市港北区箕輪町2-5-5,23:59,-q8yXBB-S7y-BW6Fk7MktQ,35.5436128,139.6420771,すき家 港北箕輪町店 Sukiya Kouhoku Minowacho,09:00,4.6,223-0051,112,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%99%E3%81%8D%E5%AE%B6-%E6%B8%AF%E5%8C%97%E7%AE%95%E8%BC%AA%E7%94%BA%E5%BA%97-sukiya-kouhoku-minowacho/-q8yXBB-S7y-BW6Fk7MktQ/
神奈川県川崎市幸区南加瀬３－８－２４,22:00,oyu3QFO8SJefwdUcmrFfrA,35.5450488,139.6608655,デニーズ 南加瀬 Denny's MINAMIKASE,11:00,4.4,212-0055,96,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%86%E3%83%8B%E3%83%BC%E3%82%B9-%E5%8D%97%E5%8A%A0%E7%80%AC-dennys-minamikase/oyu3QFO8SJefwdUcmrFfrA/
神奈川県川崎市中原区木月４丁目３８－４ ビージェネテック２Ｆ,22:00,hTCzc94KRLCrDXKrjL3jjg,35.5590738,139.6526413,グラッチェガーデンズ 川崎木月店 Grazie Gardens Kawasaki Kizuki,10:30,4.3,211-0025,33,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%AF%E3%83%A9%E3%83%83%E3%83%81%E3%82%A7%E3%82%AB%E3%83%BC%E3%83%86%E3%83%B3%E3%82%B9-%E5%B7%9D%E5%B4%8E%E6%9C%A8%E6%9C%88%E5%BA%97-grazie-gardens-kawasaki-kizuki/hTCzc94KRLCrDXKrjL3jjg/
神奈川県川崎市高津区二子4-1-5 Kanagawa,22:00,tpjELe1oTbCMLur0jjNhyw,35.6029257,139.6171003,キッチン オリジン 高津 Kitchen Origin Takatsu,10:00,4.3,213-0002,49,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E9%AB%98%E6%B4%A5-kitchen-origin-takatsu/tpjELe1oTbCMLur0jjNhyw/
川崎市幸区 古市場1-34 Kawasaki,18:00,gEuIADgaS8Cv1mmtRGzYPw,35.5530594,139.6830516,Organic Deli. Katayama,09:00,4.6,212-0052,142,https://www.ubereats.com/ja-JP/yokohama/food-delivery/organic-deli-katayama/gEuIADgaS8Cv1mmtRGzYPw/
川崎市中原区 小杉町1-519 田原ビル1F Kawasaki,22:00,c5p_3_StTYiVuKxddl_K6A,35.579097,139.659222,（ハラル）インド・パキスタン料理専門店 パンジャビ ダバ （HALAL） Indian&PakistanRestaurant Punjabi Dhaba,11:00,4.8,211-0063,46,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%8F%E3%83%A9%E3%83%AB%E3%82%A4%E3%83%B3%E3%83%88%E3%83%BB%E3%83%8F%E3%82%AD%E3%82%B9%E3%82%BF%E3%83%B3%E6%96%99%E7%90%86%E5%B0%82%E9%96%80%E5%BA%97-%E3%83%8F%E3%83%B3%E3%82%B7%E3%83%A3%E3%83%92-%E3%82%BF%E3%83%8F-halal-indian%26pakistanrestaurant-punjabi-dhaba/c5p_3_StTYiVuKxddl_K6A/
神奈川県川崎市高津区溝口１－１－５ ホテルメッツ溝ノ口２Ｆ,22:00,dSHxDsu2QTGPMTYhkxnKRQ,35.599306,139.610473,デニーズ 溝ノ口駅前 Denny's MIZONOKUCHIEKIMAE,11:00,4.2,213-0001,77,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%86%E3%83%8B%E3%83%BC%E3%82%B9-%E6%BA%9D%E3%83%8E%E5%8F%A3%E9%A7%85%E5%89%8D-dennys-mizonokuchiekimae/dSHxDsu2QTGPMTYhkxnKRQ/
神奈川県川崎市高津区溝口２丁目３－１３,22:00,NwDRwsDqS7-xf7e3844hsA,35.5998771,139.6096381,バーミヤン 溝の口店 Bamiyan Mizonokuchi,10:30,4.4,213-0001,109,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%8F%E3%83%BC%E3%83%9F%E3%83%A4%E3%83%B3-%E6%BA%9D%E3%81%AE%E5%8F%A3%E5%BA%97-bamiyan-mizonokuchi/NwDRwsDqS7-xf7e3844hsA/
Japan 〒 Kanagawa-Ken Kawasaki-Shi Saiwai-Ku Kashimada 1 Chome−18−6 KSビル 2F,23:00,QTSFfGZ8Rhiaep3wpScEyw,35.55102520000001,139.6757199,ヒマラヤンカレーニルヴァーナ Himalayan Curry NIRVANA,11:00,4.3,212-0058,29,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%92%E3%83%9E%E3%83%A9%E3%83%A4%E3%83%B3%E3%82%AB%E3%83%AC%E3%83%BC%E3%83%8B%E3%83%AB%E3%82%A6%E3%82%A1%E3%83%BC%E3%83%8A-himalayan-curry-nirvana/QTSFfGZ8Rhiaep3wpScEyw/
神奈川県川崎市中原区北谷町8,22:30,ObenIKOGTAekwne6zj1KIw,35.561404,139.671359,松屋 平間店 Matsuya Hirama,10:00,4.3,211-0015,87,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E6%9D%BE%E5%B1%8B-%E5%B9%B3%E9%96%93%E5%BA%97-matsuya-hirama/ObenIKOGTAekwne6zj1KIw/
川崎市幸区南加瀬4-16-9,23:59,NcJDrAyERVGNc7WTfYzEmg,35.5457742,139.6600164,すき家 川崎南加瀬店 Sukiya Kawasaki Minamikaze,09:00,4.4,212-0055,99,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%99%E3%81%8D%E5%AE%B6-%E5%B7%9D%E5%B4%8E%E5%8D%97%E5%8A%A0%E7%80%AC%E5%BA%97-sukiya-kawasaki-minamikaze/NcJDrAyERVGNc7WTfYzEmg/
川崎市高津区 溝口4-2-1 Kawasaki,21:00,uQMBI95YSteG186gcMuOMA,35.6034854,139.6171411,三崎丼丸 高津店 Misaki Donmaru Takatsu-ten,11:00,4.5,213-0001,105,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E4%B8%89%E5%B4%8E%E4%B8%BC%E4%B8%B8-%E9%AB%98%E6%B4%A5%E5%BA%97-misaki-donmaru-takatsu-ten/uQMBI95YSteG186gcMuOMA/
神奈川県川崎市中原区上新城２丁目１１－１０,22:00,BzCaAhBGSGOmce_s-k2MDQ,35.5876194,139.6287887,ジョナサン 武蔵新城店 Jonathan's Musashi Shinjo,10:00,4.6,211-0045,40,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%B7%E3%83%A7%E3%83%8A%E3%82%B5%E3%83%B3-%E6%AD%A6%E8%94%B5%E6%96%B0%E5%9F%8E%E5%BA%97-jonathans-musashi-shinjo/BzCaAhBGSGOmce_s-k2MDQ/
Japan 〒 Kanagawa-Ken Kawasaki-Shi Saiwai-Ku Minamikase 3 Chome−31−２４ スカイハイツ吉田,22:15,3-KlQJCUT0W04hmqZq_IOw,35.5422757,139.6618501,上海龍 南加瀬店 Shanghairyu Minamikase,11:00,4.5,212-0055,28,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E4%B8%8A%E6%B5%B7%E9%BE%8D-%E5%8D%97%E5%8A%A0%E7%80%AC%E5%BA%97-shanghairyu-minamikase/3-KlQJCUT0W04hmqZq_IOw/
神奈川県 川崎市 中原区 今井南町1-16 Yokohama,21:00,LvJC_AYDR-mi41nRv28tTg,35.574560900801494,139.65536571056924,レストラン ミュー Restaurant μ,11:30,4.1,211-0064,38,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3-%E3%83%9F%E3%83%A5%E3%83%BC-restaurant-%CE%BC/LvJC_AYDR-mi41nRv28tTg/
神奈川県川崎市宮前区野川１２３３,22:00,LBuDcES1TRaNZlarMciPag,35.5726885,139.6147273,ガスト 野川店 Gusto Nogawa,10:30,4.5,216-0001,47,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%AB%E3%82%B9%E3%83%88-%E9%87%8E%E5%B7%9D%E5%BA%97-gusto-nogawa/LBuDcES1TRaNZlarMciPag/
神奈川県川崎市高津区溝口1-12-1  大久保ビル 2F Yokohama,23:00,Seky06J-Sha0wIIFlocyyg,35.6005089,139.6118769,骨付き肉×ワインバル GRILL MEAT FACTORY 溝の口店 GRILL MEAT FACTORY,17:00,3.6,213-0001,13,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E9%AA%A8%E4%BB%98%E3%81%8D%E8%82%89%C3%97%E3%83%AF%E3%82%A4%E3%83%B3%E3%83%8F%E3%83%AB-grill-meat-factory-%E6%BA%9D%E3%81%AE%E5%8F%A3%E5%BA%97-grill-meat-factory/Seky06J-Sha0wIIFlocyyg/
神奈川県川崎市高津区溝口1-16-11,22:00,y3VlsNKNTRS5O6TR8ghCEQ,35.6007704,139.6135786,てけてけ 溝の口店 Teketeke MIZONOKUCHITENN,17:00,4.4,213-0001,43,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%A6%E3%81%91%E3%81%A6%E3%81%91-%E6%BA%9D%E3%81%AE%E5%8F%A3%E5%BA%97-teketeke-mizonokuchitenn/y3VlsNKNTRS5O6TR8ghCEQ/
神奈川県川崎市中原区小杉町3-430-22 コパンビル5Ｆ,23:00,9PDjRGm5S3yEYyelASZ1AA,35.5744906,139.6586539,木村屋本店 武蔵小杉店 Kimuraya Honten MUSASHIKOSUGI,16:00,4.5,211-0063,22,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E6%9C%A8%E6%9D%91%E5%B1%8B%E6%9C%AC%E5%BA%97-%E6%AD%A6%E8%94%B5%E5%B0%8F%E6%9D%89%E5%BA%97-kimuraya-honten-musashikosugi/9PDjRGm5S3yEYyelASZ1AA/
川崎市高津区二子4-1-6  グランドール高津 2F,22:00,XybKPBxlStuoRnBU-7cnTQ,35.60287043275762,139.61719009404183,餃子バルランタン 高津駅前店 Gyouza Bar Lantern,12:00,4.2,,23,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E9%A4%83%E5%AD%90%E3%83%8F%E3%83%AB%E3%83%A9%E3%83%B3%E3%82%BF%E3%83%B3-%E9%AB%98%E6%B4%A5%E9%A7%85%E5%89%8D%E5%BA%97-gyouza-bar-lantern/XybKPBxlStuoRnBU-7cnTQ/
神奈川県川崎市中原区北谷町46 さつきビル1F Tokyo,22:30,zuP7KC68SGG6w2suk9Ltlg,35.5619852,139.6709796,南インドダイニング ラニー South India Dining,10:30,4.4,211-0015,25,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E5%8D%97%E3%82%A4%E3%83%B3%E3%83%88%E3%82%BF%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%AF-%E3%83%A9%E3%83%8B%E3%83%BC-south-india-dining/zuP7KC68SGG6w2suk9Ltlg/
神奈川県川崎市高津区子母口521-2,23:00,l1RZOK-jSQWSzsemEZ8Ptw,35.5712164,139.6331866,吉野家 子母口店 Yoshinoya SHIBOKUCHI,10:00,4.8,213-0023,23,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E5%90%89%E9%87%8E%E5%AE%B6-%E5%AD%90%E6%AF%8D%E5%8F%A3%E5%BA%97-yoshinoya-shibokuchi/l1RZOK-jSQWSzsemEZ8Ptw/
神奈川県川崎市中原区上小田中６丁目２１－１４,22:00,9u5KHMo0SR6A93MJrcNUoQ,35.5805426,139.6423767,ジョナサン 武蔵中原店 Jonathan's Musashi Nakahara,10:00,4.6,211-0053,43,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%B7%E3%83%A7%E3%83%8A%E3%82%B5%E3%83%B3-%E6%AD%A6%E8%94%B5%E4%B8%AD%E5%8E%9F%E5%BA%97-jonathans-musashi-nakahara/9u5KHMo0SR6A93MJrcNUoQ/
中原区新城３丁目９−３ Yokohama,19:30,ixb-S163TsmKVDH7MR-0Ng,35.5852164,139.6305792,あおぞらマルシェ 武蔵新城店 Aozoramarche MusashiShinjo-Shop,11:00,4.4,211-0044,36,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%82%E3%81%8A%E3%81%9D%E3%82%89%E3%83%9E%E3%83%AB%E3%82%B7%E3%82%A7-%E6%AD%A6%E8%94%B5%E6%96%B0%E5%9F%8E%E5%BA%97-aozoramarche-musashishinjo-shop/ixb-S163TsmKVDH7MR-0Ng/
川崎市幸区鹿島田1丁目18-1153番地  KSビル1F,23:59,ca2s_hfaQRqos1SxyVnSUQ,35.5510179,139.6757094,すき家 鹿島田駅前店 Sukiya Kashimada Ekimae,09:00,4.4,212-0058,73,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%99%E3%81%8D%E5%AE%B6-%E9%B9%BF%E5%B3%B6%E7%94%B0%E9%A7%85%E5%89%8D%E5%BA%97-sukiya-kashimada-ekimae/ca2s_hfaQRqos1SxyVnSUQ/
