id,address,close_hour,latitude,longitude,name,open_hour,point,postal_code,reviews,url
nWVRj3lxR-GgHArpgXaG-A,神奈川県横浜市港北区日吉本町1-16-20 Kanagawa,21:00,35.55388770000001,139.6440797,キッチン オリジン 日吉中央通り Kitchen Origin Hiyoshichuodori,10:00,4.2,223-0062,26.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E6%97%A5%E5%90%89%E4%B8%AD%E5%A4%AE%E9%80%9A%E3%82%8A-kitchen-origin-hiyoshichuodori/nWVRj3lxR-GgHArpgXaG-A
kRn0KFEVR5CKiFlocLwC_g,神奈川県 川崎市 高津区 千年 665 Kawasaki,21:00,35.5772743,139.6285682,とんかつ後藤 Tonkatsu Goto,17:00,,213-0022,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%E5%BE%8C%E8%97%A4-tonkatsu-goto/kRn0KFEVR5CKiFlocLwC_g
tpjELe1oTbCMLur0jjNhyw,神奈川県川崎市高津区二子4-1-5 Kanagawa,22:00,35.60292570000001,139.6171003,キッチン オリジン 高津 Kitchen Origin Takatsu,10:00,4.3,213-0002,49.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E9%AB%98%E6%B4%A5-kitchen-origin-takatsu/tpjELe1oTbCMLur0jjNhyw
n0FXOvAmSES5zTcvWCbZVA,2 Chome-7-3 Shimosakunobe Takatsu-Ku Kawasaki-Shi Kanagawa-ken,22:30,35.600273,139.606512,インド・ネパール料理 YABIN 溝の口店 YABIN mizonokutitenn,11:00,,213-0033,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%A4%E3%83%B3%E3%83%88%E3%83%BB%E3%83%8D%E3%83%8F%E3%83%BC%E3%83%AB%E6%96%99%E7%90%86-yabin-%E6%BA%9D%E3%81%AE%E5%8F%A3%E5%BA%97-yabin-mizonokutitenn/n0FXOvAmSES5zTcvWCbZVA
uXi0lt7LSB6s9ryBjmL7AA,川崎市高津区 梶ケ谷2-1-14 1F Kawasaki,22:30,35.5909403,139.60425759999998,私のアジア 梶ヶ谷店 Watashi no Asia Kajigaya,11:00,4.6,213-0015,13.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E7%A7%81%E3%81%AE%E3%82%A2%E3%82%B7%E3%82%A2-%E6%A2%B6%E3%83%B6%E8%B0%B7%E5%BA%97-watashi-no-asia-kajigaya/uXi0lt7LSB6s9ryBjmL7AA
tOGF4xUsR9WRDY09ooC0jA,川崎市高津区下作延2－7－3 Kanagawa,22:30,35.6002185,139.60646599999998,どーもどーも DOUMODOUMO,11:00,,213-0033,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%A8%E3%83%BC%E3%82%82%E3%81%A8%E3%83%BC%E3%82%82-doumodoumo/tOGF4xUsR9WRDY09ooC0jA
WgrsWmqtT2ayPhjth-yqjw,神奈川県 川崎市 多摩区 堰2-7-4,22:00,35.6130745111481,139.59424060802365,アジアンダイニングバルサ Asian dining BARSHA,11:00,4.4,,33.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%A2%E3%82%B7%E3%82%A2%E3%83%B3%E3%82%BF%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%AF%E3%83%8F%E3%83%AB%E3%82%B5-asian-dining-barsha/WgrsWmqtT2ayPhjth-yqjw
3j3ZcSBqTJKezQpUvVm6vQ,4 Chome-7-１３ Tsunashimanishi Kōhoku-Ku Yokohama-Shi Kanagawa-Ken  Japan,22:30,35.54153520000001,139.6274176,ブッダム 綱島店 Buddham Asian Dining&Delivery Tsunashima,10:30,4.7,223-0053,47.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%95%E3%83%83%E3%82%BF%E3%83%A0-%E7%B6%B1%E5%B3%B6%E5%BA%97-buddham-asian-dining%26delivery-tsunashima/3j3ZcSBqTJKezQpUvVm6vQ
RhnaTpdaTnWWWQ0tZpwQTA,Tsunashimahigashi 3 Chome−5 横浜市港北区 神奈川県,23:00,35.539482,139.64219,もつ焼き 良 Motsuyaki Ryo,11:30,3.4,223-0052,11.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%82%E3%81%A4%E7%84%BC%E3%81%8D-%E8%89%AF-motsuyaki-ryo/RhnaTpdaTnWWWQ0tZpwQTA
EcO9u0WKQXi_TAo-b-4obQ,神奈川県川崎市幸区神明町1-13 Kanagawa,22:00,35.5405615,139.6909523,キッチン オリジン 川崎神明町 Kitchen Origin Kawasakishinmeicho,10:00,4.0,212-0022,23.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E5%B7%9D%E5%B4%8E%E7%A5%9E%E6%98%8E%E7%94%BA-kitchen-origin-kawasakishinmeicho/EcO9u0WKQXi_TAo-b-4obQ
2hLkihniRvmYdD3RBKLjaQ,神奈川県川崎市中原区新丸子東2-924-8 Kanagawa,23:59,35.57714050000001,139.6610285,串カツ田中 武蔵小杉 Kushikatsu Tanaka Musashikosugi,12:00,4.5,211-0004,31.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E4%B8%B2%E3%82%AB%E3%83%84%E7%94%B0%E4%B8%AD-%E6%AD%A6%E8%94%B5%E5%B0%8F%E6%9D%89-kushikatsu-tanaka-musashikosugi/2hLkihniRvmYdD3RBKLjaQ
duRtgUDKT16EzlaOdU7eEA,神奈川県川崎市高津区子母口515-1 Kanagawa,21:00,35.5714209,139.63262,味の民芸 子母口店 Ajino Mingei Shibokuchi,11:00,,213-0023,,https://www.ubereats.com/jp/yokohama/food-delivery/%E5%91%B3%E3%81%AE%E6%B0%91%E8%8A%B8-%E5%AD%90%E6%AF%8D%E5%8F%A3%E5%BA%97-ajino-mingei-shibokuchi/duRtgUDKT16EzlaOdU7eEA
myJbQoxgT6qVhAyhEieleg,神奈川県横浜市港北区日吉3-2-15 Kanagawa,22:00,35.557471899999996,139.64994430000002,キッチン オリジン 日吉 Kitchen Origin Hiyoshi,10:00,4.1,223-0061,33.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E6%97%A5%E5%90%89-kitchen-origin-hiyoshi/myJbQoxgT6qVhAyhEieleg
