店名,住所,緯度,経度,開始,終了,点数,レビュー数,URL
腹ペコ Harapeko,693 Kitayachō Nakahara-Ku Kawasaki-Shi Kanagawa-Ken  Japan,35.5636899,139.6700864,11:00,23:00,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E8%85%B9%E3%83%98%E3%82%B3-harapeko/5nFflewOQamARsk7zpu2yg
マナスル キッチン Manaslu Kitchen,川崎市高津区 新作3-16-7-102 石井ビル1F Kawasaki,35.587086299999996,139.6183705,11:00,21:00,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%9E%E3%83%8A%E3%82%B9%E3%83%AB-%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-manaslu-kitchen/HBHf3LlySaS62oDSch-iMQ
グルン アジアン料理＆バー GURUNG ASIANRYOURI&BAR,6 Chome-3-5 Yakō Tsurumi-Ku Yokohama-Shi Kanagawa-ken,35.537383,139.6802,11:00,22:00,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AF%E3%83%AB%E3%83%B3-%E3%82%A2%E3%82%B7%E3%82%A2%E3%83%B3%E6%96%99%E7%90%86%26%E3%83%8F%E3%83%BC-gurung-asianryouri%26bar/K8LO4E7NTtWnReD54zh9uQ
小僧寿し 子母口店 Kozo Sushi SHIBOGUCHI,神奈川県川崎市高津区子母口496-1,35.5729162,139.6317033,10:30,20:30,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E5%B0%8F%E5%83%A7%E5%AF%BF%E3%81%97-%E5%AD%90%E6%AF%8D%E5%8F%A3%E5%BA%97-kozo-sushi-shiboguchi/CC9l5P_ITA2yAzB0-N95Ug
ミソイ Misoy,1 Chome-6-2 Tsunashimahigashi Kōhoku-Ku Yokohama-Shi Kanagawa-Ken  Japan,35.53632,139.635199,11:30,19:30,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%9F%E3%82%BD%E3%82%A4-misoy/QcWpUU6ETNKb0nsGa3LEkA
インドおつまみ シリス 元住吉店 Indian Snacks Shirish Motosumiyoshi,中原区木月３－８－２２ 鈴木水産ビルＢ１－Ｂ Kawasaki,35.565504,139.649158,11:00,22:30,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%A4%E3%83%B3%E3%83%88%E3%81%8A%E3%81%A4%E3%81%BE%E3%81%BF-%E3%82%B7%E3%83%AA%E3%82%B9-%E5%85%83%E4%BD%8F%E5%90%89%E5%BA%97-indian-snacks-shirish-motosumiyoshi/7k_oIXXPR02C3VdZNrMenQ
シリス 元住吉店 Shirish Motosumiyoshi,Nakahara-Ku Kizuki 3 Chome−8 Kawasaki-Shi Kanagawa-ken,35.565504,139.649158,11:00,22:30,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%B7%E3%83%AA%E3%82%B9-%E5%85%83%E4%BD%8F%E5%90%89%E5%BA%97-shirish-motosumiyoshi/esRDHyzyTbeDVsICyJ_Sww
華星 麺専門 Kasei Noodle Shop,横浜市港北区綱島西2-6-26 Yokohama,35.5365804,139.6327075,13:00,22:00,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E8%8F%AF%E6%98%9F-%E9%BA%BA%E5%B0%82%E9%96%80-kasei-noodle-shop/C4Sotkg0STygFGkCGDr1QA
リップル Ripple,川崎市中原区 木月3-10-20  永塚ビル1F Kawasaki,35.565563299999994,139.6479591,10:00,18:30,4.7,21.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%AA%E3%83%83%E3%83%95%E3%83%AB-ripple/o6QwO0EHRXCsY9zlK8uHbQ
博多名物 元祖肉肉うどん 平間 Ganso Nikuniku Udon Hirama,神奈川県川崎市中原区上平間1700-125 Kanagawa,35.559631599999996,139.6754851,11:00,21:00,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E5%8D%9A%E5%A4%9A%E5%90%8D%E7%89%A9-%E5%85%83%E7%A5%96%E8%82%89%E8%82%89%E3%81%86%E3%81%A8%E3%82%93-%E5%B9%B3%E9%96%93-ganso-nikuniku-udon-hirama/BoP6ZXQKRVyIptmPLXB3Sg
ロッコマン 新丸子店 ROCCOMAN Shinmaruko,1 Chome-772-5 Shinmarukohigashi Nakahara-Ku Kawasaki-Shi Kanagawa-ken,35.580601,139.66225,11:30,23:00,4.4,12.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%AD%E3%83%83%E3%82%B3%E3%83%9E%E3%83%B3-%E6%96%B0%E4%B8%B8%E5%AD%90%E5%BA%97-roccoman-shinmaruko/77pDX-gtQoSbqiE9wtXohA
なか卯 横浜駒岡店 Nakau Yokohama-Komaoka,神奈川県横浜市鶴見区駒岡2丁目4番33号,35.5254833,139.64908830000002,10:00,23:00,4.2,42.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%AA%E3%81%8B%E5%8D%AF-%E6%A8%AA%E6%B5%9C%E9%A7%92%E5%B2%A1%E5%BA%97-nakau-yokohama-komaoka/aGCbdrlpS4yubh8fJWyeIA
オムライスのひまわり omuraisunohimawari,港北区綱島西1-17-10 Yokohama,35.53810870000001,139.6307644,11:00,21:00,4.5,57.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AA%E3%83%A0%E3%83%A9%E3%82%A4%E3%82%B9%E3%81%AE%E3%81%B2%E3%81%BE%E3%82%8F%E3%82%8A-omuraisunohimawari/0lVZAlhnTDSraM0xyS_g7Q
北海道唐揚げ えぞ丸 日吉店 Ezomaru Hiyoshi,1 Chome-1-10 Hiyoshihonchō Kōhoku-Ku Yokohama-Shi Kanagawa-ken,35.553703000000006,139.646319,11:00,20:30,4.6,77.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E5%8C%97%E6%B5%B7%E9%81%93%E5%94%90%E6%8F%9A%E3%81%91-%E3%81%88%E3%81%9D%E4%B8%B8-%E6%97%A5%E5%90%89%E5%BA%97-ezomaru-hiyoshi/r4E9Emr1TPO2TH0fCIpOiA
binwan,中原区木月1-29-12  吉田店舗ビル１F Kawasaki,35.5658091,139.65149350000002,11:00,22:30,4.3,68.0,https://www.ubereats.com/jp/yokohama/food-delivery/binwan/aiEykDElT6y88qAxxm7ufw
ガスト 新川崎明津店  Gusto Shinkawasaki Akutsu,神奈川県川崎市高津区明津２３６－３,35.5670061,139.6376503,10:30,22:00,4.6,61.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AB%E3%82%B9%E3%83%88-%E6%96%B0%E5%B7%9D%E5%B4%8E%E6%98%8E%E6%B4%A5%E5%BA%97-gusto-shinkawasaki-akutsu/WH6mOH_ATIqVbsk8EgchdA
松乃家 武蔵新城店 Matsunoya Musashi Shinjo,神奈川県川崎市中原区新城5-1-3 フクシマビル,35.586835,139.629612,10:00,22:30,4.5,242.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E6%9D%BE%E4%B9%83%E5%AE%B6-%E6%AD%A6%E8%94%B5%E6%96%B0%E5%9F%8E%E5%BA%97-matsunoya-musashi-shinjo/3Wq7aVYxRCaFrOHK8wVtRg
松屋 大倉山店  Matsuya Okurayama,神奈川県横浜市港北区大倉山3-1-28,35.5216352,139.6296163,10:00,22:30,4.5,47.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E6%9D%BE%E5%B1%8B-%E5%A4%A7%E5%80%89%E5%B1%B1%E5%BA%97-matsuya-okurayama/j3FN-mlARiaKHJZSXWUpsA
パンの田島 綱島店 Pan no Tajima Tsunashima,神奈川県横浜市港北区綱島東1-1-18 松月鹿島ビル1F,35.5364854,139.63499019999998,09:00,19:00,4.7,231.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%8F%E3%83%B3%E3%81%AE%E7%94%B0%E5%B3%B6-%E7%B6%B1%E5%B3%B6%E5%BA%97-pan-no-tajima-tsunashima/qXoHTbF8SxCdHK11E3H05A
ガスト 尻手駅前店 Gusto Shitte Ekimae,神奈川県横浜市鶴見区矢向４丁目４－６,35.5314225,139.6835472,10:30,22:00,4.6,48.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AB%E3%82%B9%E3%83%88-%E5%B0%BB%E6%89%8B%E9%A7%85%E5%89%8D%E5%BA%97-gusto-shitte-ekimae/PcWJA019Q4mPEu0si9cZPQ
