店名,住所,緯度,経度,点数,レビュー数,URL
キッチン オリジン 日吉 Kitchen Origin Hiyoshi,神奈川県横浜市港北区日吉3-2-15 Kanagawa,35.5574719,139.64994430000002,4.1,33.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E6%97%A5%E5%90%89-kitchen-origin-hiyoshi/myJbQoxgT6qVhAyhEieleg
LOCO STYLE 鹿島田店 LOCO STYLE,Shimohirama Saiwai-Ku Kawasaki-Shi Kanagawa-ken,35.551979,139.6761,,,https://www.ubereats.com/jp/yokohama/food-delivery/loco-style-%E9%B9%BF%E5%B3%B6%E7%94%B0%E5%BA%97-loco-style/7lsAWTOxSG6LbiKhp-annw
スペアリブハウスハウディ Howdy,２丁目-１１-31 上新城 中原区 川崎市 神奈川県,35.587244,139.63008100000002,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%B9%E3%83%98%E3%82%A2%E3%83%AA%E3%83%95%E3%83%8F%E3%82%A6%E3%82%B9%E3%83%8F%E3%82%A6%E3%83%86%E3%82%A3-howdy/c-u_7L2YSGOENdGZMG65YA
寿しやの台所/ときしらず Susiyanodaidocoro Tokishirazu,1 Chome-12-5 Mizonokuchi Takatsu-Ku 永原ビル2F Kawasaki-Shi Kanagawa-ken,35.600573,139.612168,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E5%AF%BF%E3%81%97%E3%82%84%E3%81%AE%E5%8F%B0%E6%89%80-%E3%81%A8%E3%81%8D%E3%81%97%E3%82%89%E3%81%99-susiyanodaidocoro-tokishirazu/5Antl-32T321JzEUG978-Q
ＣＯＳＵＧＩ 市場 ＹＡ‐ＵＯ‐ＹＡ COSUGI Ichiba YA-UO-YA,Nakahara-Ku Shinmarukomachi 川崎市中原区 神奈川県,35.578988,139.661053,,,https://www.ubereats.com/jp/yokohama/food-delivery/cosugi-%E5%B8%82%E5%A0%B4-ya%E2%80%90uo%E2%80%90ya-cosugi-ichiba-ya-uo-ya/oYW9sRm_RtCRK9Oj4UyQOA
カパンナ Capanna,3 Chome-1-12 Mizonokuchi Takatsu-Ku Kawasaki-Shi Kanagawa-Ken  Japan,35.6012677,139.61496699999998,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AB%E3%83%8F%E3%83%B3%E3%83%8A-capanna/LsT69uRhQmCvWG7fUerFcA
骨付き肉×ワインバル GRILL MEAT FACTORY 溝の口店 GRILL MEAT FACTORY,神奈川県川崎市高津区溝口1-12-1  大久保ビル 2F Yokohama,35.6005089,139.6118769,3.7,13.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E9%AA%A8%E4%BB%98%E3%81%8D%E8%82%89%C3%97%E3%83%AF%E3%82%A4%E3%83%B3%E3%83%8F%E3%83%AB-grill-meat-factory-%E6%BA%9D%E3%81%AE%E5%8F%A3%E5%BA%97-grill-meat-factory/Seky06J-Sha0wIIFlocyyg
ミート アンド ワイン バンブゥ 新丸子 Meat&Wine Bambu shinmarco,川崎市中原区 新丸子町743 Kawasaki,35.58007879999999,139.66068330000002,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%9F%E3%83%BC%E3%83%88-%E3%82%A2%E3%83%B3%E3%83%88-%E3%83%AF%E3%82%A4%E3%83%B3-%E3%83%8F%E3%83%B3%E3%83%95%E3%82%A5-%E6%96%B0%E4%B8%B8%E5%AD%90-meat%26wine-bambu-shinmarco/X2es_PoNSDe0z0IftYIpVA
キッチン オリジン 武蔵新城 Kitchen Origin Musashishinjo,神奈川県川崎市中原区新城3-8-7 Kanagawa,35.58558520000001,139.63058600000002,4.2,23.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E6%AD%A6%E8%94%B5%E6%96%B0%E5%9F%8E-kitchen-origin-musashishinjo/FAybm5AKQEG7ZXlE0R-EYQ
牛タン圭助 日吉店 Gyutan Keisuke HIYOSHI,神奈川県横浜市港北区日吉本町1-1-9 ビッグ日吉駅前店舗1・2F,35.553755141816445,139.64635671870482,4.2,23.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E7%89%9B%E3%82%BF%E3%83%B3%E5%9C%AD%E5%8A%A9-%E6%97%A5%E5%90%89%E5%BA%97-gyutan-keisuke-hiyoshi/OebKFBwaSZK7z6cvdQVtBw
ミシュラさんのアジアン串 高津店 Mishra's Asian-gushi Takatsu,5-Chōme-5-2 Futago Takatsu-Ku ジェメリ高津1階 Kawasaki Kanagawa,35.6018348,139.61729609999998,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%9F%E3%82%B7%E3%83%A5%E3%83%A9%E3%81%95%E3%82%93%E3%81%AE%E3%82%A2%E3%82%B7%E3%82%A2%E3%83%B3%E4%B8%B2-%E9%AB%98%E6%B4%A5%E5%BA%97-mishras-asian-gushi-takatsu/LbMUo_R9SBKhZS_4YyT7kw
すし食彩 活庵 SushiSyokusai KATSUAN,川崎市高津区 溝口1-1-23 カスクメゾン 1Ｆ,35.59865167911665,139.61098371003553,3.2,12.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%99%E3%81%97%E9%A3%9F%E5%BD%A9-%E6%B4%BB%E5%BA%B5-sushisyokusai-katsuan/u_gGJwWgSQ-V9CZNza67Uw
