店名,住所,緯度,経度,点数,レビュー数,URL
フォルクス 鶴見寺尾店 VOLKS Tsurumi Terao,神奈川県横浜市鶴見区諏訪坂5-37,35.5156786,139.6662691,4.5,62.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%95%E3%82%A9%E3%83%AB%E3%82%AF%E3%82%B9-%E9%B6%B4%E8%A6%8B%E5%AF%BA%E5%B0%BE%E5%BA%97-volks-tsurumi-terao/TzSHxMYrQRC8XGPH5XKgPQ
からあげの拓 Karaagenotaku,Ikeda 1 Chome−1−１４−７ Kawasaki-Shi Kanagawa-ken,35.523029,139.692016,4.8,30.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%8B%E3%82%89%E3%81%82%E3%81%91%E3%81%AE%E6%8B%93-karaagenotaku/n_T_0Cf1SCqEKU9Y5FUyUA
どさん子Deli 京急鶴見店 Dosanko Deli KEIKYU TSURUMI,神奈川県横浜市鶴見区鶴見中央5-10-1 Kanagawa,35.50517670000001,139.6776897,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%A8%E3%81%95%E3%82%93%E5%AD%90deli-%E4%BA%AC%E6%80%A5%E9%B6%B4%E8%A6%8B%E5%BA%97-dosanko-deli-keikyu-tsurumi/BLsamGDfRwGmq_jbx0ZErw
香南厨房 Kounan Kitchen,鶴見区鶴見中央４－１８－１２ 大塚ビル１Ｆ,35.50652949017904,139.67891234192678,4.5,11.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E9%A6%99%E5%8D%97%E5%8E%A8%E6%88%BF-kounan-kitchen/XzJB582cQ8GLz_L2L89ScA
インドレストラン ナマステ India Restaurant Namasute,川崎市幸区 古市場1820 中塚ビル1F Kawasaki,35.55058010000001,139.6858614,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%A4%E3%83%B3%E3%83%88%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3-%E3%83%8A%E3%83%9E%E3%82%B9%E3%83%86-india-restaurant-namasute/wXMaR4c7SPO4RaAHLLiFaQ
旬菜和処 根ぎし Syunsaiwadokoro Negishi,Ogawachō 川崎市川崎区 神奈川県,35.526204,139.696888,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E6%97%AC%E8%8F%9C%E5%92%8C%E5%87%A6-%E6%A0%B9%E3%81%8D%E3%81%97-syunsaiwadokoro-negishi/6USeQCSxSP6qtkPWbyJwzA
ジョナサン 鶴見店 Jonathan's Tsurumi,神奈川県横浜市鶴見区鶴見中央４丁目２６,35.5074316,139.6800233,4.8,40.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%B7%E3%83%A7%E3%83%8A%E3%82%B5%E3%83%B3-%E9%B6%B4%E8%A6%8B%E5%BA%97-jonathans-tsurumi/WIjMuCRnSHe1UwrKAN0cVg
大戸屋ごはん処 京急川崎駅前店 Ootoya KEIKYU KAWASAKI,神奈川県川崎市川崎区砂子1-1-6 川崎愛知ビル2F,35.531328,139.700798,4.4,463.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E5%A4%A7%E6%88%B8%E5%B1%8B%E3%81%93%E3%81%AF%E3%82%93%E5%87%A6-%E4%BA%AC%E6%80%A5%E5%B7%9D%E5%B4%8E%E9%A7%85%E5%89%8D%E5%BA%97-ootoya-keikyu-kawasaki/A-ogAyqxQjmV3wrkd5tMyA
つけ麺 総本山 吉宗 京急鶴見店 Yoshimune KEIKYU-TSURUMI,神奈川県横浜市鶴見区鶴見中央5-10-1 ｳﾞｨﾗﾊｲﾂ鶴見1階,35.50517670000001,139.6776897,4.4,26.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%A4%E3%81%91%E9%BA%BA-%E7%B7%8F%E6%9C%AC%E5%B1%B1-%E5%90%89%E5%AE%97-%E4%BA%AC%E6%80%A5%E9%B6%B4%E8%A6%8B%E5%BA%97-yoshimune-keikyu-tsurumi/wmDH4GZuS4-nK0JoOF51MQ
オアシス インド レストラン Oasis India Restaurant,2 Chome-1-16 Asada Kawasaki-Shi Kanagawa-ken,35.508189,139.70152099999999,4.5,29.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AA%E3%82%A2%E3%82%B7%E3%82%B9-%E3%82%A4%E3%83%B3%E3%83%88-%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3-oasis-india-restaurant/YNQDoZKWSYCo3W570FnHMQ
ユリショップ Yuri Shop,鶴見区仲通２－６０－１５ Yokohama,35.5016027,139.6880988,4.1,19.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%A6%E3%83%AA%E3%82%B7%E3%83%A7%E3%83%83%E3%83%95-yuri-shop/X0vh3V2tSn6QT0TutEgEdw
ラージマハル RAJMAHAL,神奈川県 川崎市 幸区 下平間287-1 プラムハイツ1F Kanagawa,35.5492886,139.681953,4.7,59.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%A9%E3%83%BC%E3%82%B7%E3%83%9E%E3%83%8F%E3%83%AB-rajmahal/I7VsanE5RpSNziVmZ1sQsw
日乃屋カレー 川崎たちばな通り店 Hinoya Curry Kawasaki Tachibanadori,Higashidachō Kawasaki-Ku 川崎市川崎区東田町 Kanagawa-ken,35.529621999999996,139.702091,4.4,317.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E6%97%A5%E4%B9%83%E5%B1%8B%E3%82%AB%E3%83%AC%E3%83%BC-%E5%B7%9D%E5%B4%8E%E3%81%9F%E3%81%A1%E3%81%AF%E3%81%AA%E9%80%9A%E3%82%8A%E5%BA%97-hinoya-curry-kawasaki-tachibanadori/r4uenNIQSy6O0xBRkvut5A
熱中酒場 夢吉 川崎店 Necyu Bar Yumekichi Kawasaki Restaurant,Kawasaki Ekimae Honcho 2−11  都ビルB1F Kanagawa Prefecture,35.529434,139.699015,4.2,20.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E7%86%B1%E4%B8%AD%E9%85%92%E5%A0%B4-%E5%A4%A2%E5%90%89-%E5%B7%9D%E5%B4%8E%E5%BA%97-necyu-bar-yumekichi-kawasaki-restaurant/-8IoZmHyRIG81xVesK3tPg
本場の味 インド料理 パリカール honnbanoaji inndorixyouri parikaaru,横浜市鶴見区 市場大和町6-7,35.5179661,139.6873306,4.6,236.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3-%E3%82%A4%E3%83%B3%E3%83%88%E6%96%99%E7%90%86-%E3%83%8F%E3%83%AA%E3%82%AB%E3%83%BC%E3%83%AB-honnbanoaji-inndorixyouri-parikaaru/xQJSrX4mQg6FkP3GtrVHJQ
丼ぶりとうどんの江戸屋 京急鶴見店 Edoya KEIKYU-TSURUMI,神奈川県横浜市鶴見区鶴見中央5-10-1 ｳﾞｨﾗﾊｲﾂ鶴見1階,35.50517670000001,139.6776897,4.2,31.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E4%B8%BC%E3%81%B5%E3%82%8A%E3%81%A8%E3%81%86%E3%81%A8%E3%82%93%E3%81%AE%E6%B1%9F%E6%88%B8%E5%B1%8B-%E4%BA%AC%E6%80%A5%E9%B6%B4%E8%A6%8B%E5%BA%97-edoya-keikyu-tsurumi/lspozhmfRIipxkj62CN9ZQ
マックスシー川崎店 MAXSEE Kawasaki,神奈川県川崎市川崎区日進町一番地 川崎日航ホテル Kawasaki,35.530060999999996,139.696752,4.7,500.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%9E%E3%83%83%E3%82%AF%E3%82%B9%E3%82%B7%E3%83%BC%E5%B7%9D%E5%B4%8E%E5%BA%97-maxsee-kawasaki/8OUVcXYCSkKtBEVOE8-e3Q
ブラジルバーガー Brasil Barger,鶴見区仲通２－６０－１５ 小松原ハイツ1F,35.5016027,139.6880988,3.9,39.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%95%E3%83%A9%E3%82%B7%E3%83%AB%E3%83%8F%E3%83%BC%E3%82%AB%E3%83%BC-brasil-barger/Clj6r61_Rb2ttFrH5v88Ag
銀座コージーコーナー 鶴見東口店 Ginza Cozy Corner Tsurumi Higashi-Guchi,神奈川県横浜市鶴見区鶴見中央1-31-2-108,35.5066857,139.6766215,4.6,45.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E9%8A%80%E5%BA%A7%E3%82%B3%E3%83%BC%E3%82%B7%E3%83%BC%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC-%E9%B6%B4%E8%A6%8B%E6%9D%B1%E5%8F%A3%E5%BA%97-ginza-cozy-corner-tsurumi-higashi-guchi/7IPyymPsSF2lzWGLrj801g
【「うまい！」大集合】 鶴見店 Umaidaishuugou TSURUMI,神奈川県横浜市鶴見区鶴見中央5-10-1 Kanagawa,35.50517670000001,139.6776897,5.0,10.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%86%E3%81%BE%E3%81%84!%E5%A4%A7%E9%9B%86%E5%90%88-%E9%B6%B4%E8%A6%8B%E5%BA%97-umaidaishuugou-tsurumi/3WvkS_lvSgmAo5pCecS5qA
れんげ食堂 Toshu 鶴見店 Renge Shokudo Toshu Tsurumi,4-Chōme-27-6 Tsurumichūō Tsurumi-Ku Yokohama Kanagawa,35.5076014,139.6791393,4.5,74.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%8C%E3%82%93%E3%81%91%E9%A3%9F%E5%A0%82-toshu-%E9%B6%B4%E8%A6%8B%E5%BA%97-renge-shokudo-toshu-tsurumi/DN0gSWo5QwycsDWZF9xBCw
なか卯 川崎南町店 Nakau Kawasaki Minamimachi,神奈川県川崎市川崎区南町19-7 伸成川崎中央ﾋﾞﾙ,35.5256463,139.6998277,4.5,348.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%AA%E3%81%8B%E5%8D%AF-%E5%B7%9D%E5%B4%8E%E5%8D%97%E7%94%BA%E5%BA%97-nakau-kawasaki-minamimachi/xnXeQ5pkQ3GGGWIMmz3_Jw
キッチン オリジン 矢向 Kitchen Origin Yako,神奈川県横浜市鶴見区矢向5-6-20 Kanagawa,35.5383306,139.6816153,4.4,42.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E7%9F%A2%E5%90%91-kitchen-origin-yako/ANUxLEFXRwe-l41zTOBWgA
居酒屋インド料理店(インドカレー)チャンドラマミューザ川崎店 Indian restaurant (Indian curry)Chandrama MUZA Kawasaki,神奈川県 川崎市 幸区大宮町1310  ミューザ川崎 1F西側出入口１３０インドカレー店,35.5310902,139.69464230000003,4.5,70.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E5%B1%85%E9%85%92%E5%B1%8B%E3%82%A4%E3%83%B3%E3%83%88%E6%96%99%E7%90%86%E5%BA%97%E3%82%A4%E3%83%B3%E3%83%88%E3%82%AB%E3%83%AC%E3%83%BC%E3%83%81%E3%83%A3%E3%83%B3%E3%83%88%E3%83%A9%E3%83%9E%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B5%E5%B7%9D%E5%B4%8E%E5%BA%97-indian-restaurant-indian-currychandrama-muza-kawasaki/uC9xc7TKQoqfxy4_qyFzMQ
つぼ八 川崎仲見世通り店 Tsubohachi Kawasaki Nakamise-Dori,神奈川県川崎市川崎区駅前本町4-12 ﾑﾗﾀﾔﾋﾞﾙｱﾈｯｸｽ4F,35.5299165,139.69921440000002,4.7,26.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%A4%E3%81%BB%E5%85%AB-%E5%B7%9D%E5%B4%8E%E4%BB%B2%E8%A6%8B%E4%B8%96%E9%80%9A%E3%82%8A%E5%BA%97-tsubohachi-kawasaki-nakamise-dori/RVyaH8mzTYCWLU_fU4sS_Q
龍香居 Gluttonous feast,川崎市川崎区小川町18-28 メゾンM3 1階 Yokohama,35.52604390000001,139.6969009,4.2,20.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E9%BE%8D%E9%A6%99%E5%B1%85-gluttonous-feast/5BkfFJwJS267qB4uIPSMMg
炭火焼き干物定食 しんぱち食堂 鶴見店 Charcoal Grilled Meal Sinpachi Syokudo Tsurumi,Tsurumi-Ku Tsurumichūō 1 Chome−30 Yokohama-Shi Kanagawa-ken,35.507248,139.678001,4.6,125.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E7%82%AD%E7%81%AB%E7%84%BC%E3%81%8D%E5%B9%B2%E7%89%A9%E5%AE%9A%E9%A3%9F-%E3%81%97%E3%82%93%E3%81%AF%E3%81%A1%E9%A3%9F%E5%A0%82-%E9%B6%B4%E8%A6%8B%E5%BA%97-charcoal-grilled-meal-sinpachi-syokudo-tsurumi/s7bqDXs1R4KwrdevJLdU_g
元祖メガ丼！デカ盛り屋 京急鶴見店 Dekamoriya KEIKYU-TSURUMI,神奈川県横浜市鶴見区鶴見中央5-10-1 ｳﾞｨﾗﾊｲﾂ鶴見1階,35.50517670000001,139.6776897,4.6,25.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E5%85%83%E7%A5%96%E3%83%A1%E3%82%AB%E4%B8%BC!%E3%83%86%E3%82%AB%E7%9B%9B%E3%82%8A%E5%B1%8B-%E4%BA%AC%E6%80%A5%E9%B6%B4%E8%A6%8B%E5%BA%97-dekamoriya-keikyu-tsurumi/Udy5RG9rQDGvG60dP9K1cQ
ジョリーパスタ 鶴見中央店 Jolly Pasta Tsurumi Chuo,神奈川県横浜市鶴見区鶴見中央3-5-21,35.5113032,139.68378140000002,4.3,75.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%B7%E3%83%A7%E3%83%AA%E3%83%BC%E3%83%8F%E3%82%B9%E3%82%BF-%E9%B6%B4%E8%A6%8B%E4%B8%AD%E5%A4%AE%E5%BA%97-jolly-pasta-tsurumi-chuo/Om4TVTuqSL2n2wKjBk94Zg
とり多津川崎アゼリア店 TORITATSU KAWASAKIAZERIA,川崎市川崎区 駅前本町26-2 川崎アゼリア,35.53025100941574,139.697855603275,4.2,40.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%A8%E3%82%8A%E5%A4%9A%E6%B4%A5%E5%B7%9D%E5%B4%8E%E3%82%A2%E3%82%BB%E3%83%AA%E3%82%A2%E5%BA%97-toritatsu-kawasakiazeria/XBeWzhQUQuCEu-uSzl_wow
特盛びっくり食堂 京急鶴見店 Tokumori Bikkuri Shokudo Keikyu-Tsurumi,神奈川県横浜市鶴見区鶴見中央5-10-1 ｳﾞｨﾗﾊｲﾂ鶴見1階,35.50517670000001,139.6776897,4.4,45.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E7%89%B9%E7%9B%9B%E3%81%B2%E3%81%A3%E3%81%8F%E3%82%8A%E9%A3%9F%E5%A0%82-%E4%BA%AC%E6%80%A5%E9%B6%B4%E8%A6%8B%E5%BA%97-tokumori-bikkuri-shokudo-keikyu-tsurumi/I34PSeo_RlK_uli-7iEQzQ
オーサム！ AWESOME!,神奈川県川崎市川崎区砂子2-9-3 A＆R 三鶴ビル3F Kanagawa,35.52907970000001,139.7007514,4.2,48.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AA%E3%83%BC%E3%82%B5%E3%83%A0!-awesome!/HOq6ag-tSoOwZG3eWoazTA
無限ラーメン居酒屋 Mugenramen Izakaya,神奈川県川崎市川崎区渡田向町14-4 第2勝又ビル1F Kanagawa,35.519717,139.70324340000002,4.6,54.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E7%84%A1%E9%99%90%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E5%B1%85%E9%85%92%E5%B1%8B-mugenramen-izakaya/XFc-MJXvR6KqQvUIrmRuBw
中国料理 唐辛子 Chinese Togarashi,Kawasaki-Ku Isago 2 Chome−9 Kawasaki-Shi Kanagawa-ken,35.5286434,139.7011433,4.3,23.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E4%B8%AD%E5%9B%BD%E6%96%99%E7%90%86-%E5%94%90%E8%BE%9B%E5%AD%90-chinese-togarashi/SGsYfCIOTzyWgjVBtuCXkQ
長崎ちゃんぽん リンガーハット 川崎西口店 Ringer Hut KAWASAKI NISHI,神奈川県川崎市幸区大宮町1310,35.5310613,139.69461850000002,4.5,68.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E9%95%B7%E5%B4%8E%E3%81%A1%E3%82%83%E3%82%93%E3%81%BB%E3%82%93-%E3%83%AA%E3%83%B3%E3%82%AB%E3%83%BC%E3%83%8F%E3%83%83%E3%83%88-%E5%B7%9D%E5%B4%8E%E8%A5%BF%E5%8F%A3%E5%BA%97-ringer-hut-kawasaki-nishi/uMKMOx1iTZS5a_3MG7Jnyw
ガスト 尻手駅前店 Gusto Shitte Ekimae,神奈川県横浜市鶴見区矢向４丁目４－６,35.5314225,139.6835472,4.4,32.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AB%E3%82%B9%E3%83%88-%E5%B0%BB%E6%89%8B%E9%A7%85%E5%89%8D%E5%BA%97-gusto-shitte-ekimae/PcWJA019Q4mPEu0si9cZPQ
バーミヤン 北寺尾店 Bamiyan Kitaterao,神奈川県横浜市鶴見区北寺尾２丁目１９－５０,35.5150224,139.6648466,4.5,39.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%8F%E3%83%BC%E3%83%9F%E3%83%A4%E3%83%B3-%E5%8C%97%E5%AF%BA%E5%B0%BE%E5%BA%97-bamiyan-kitaterao/2mtYIc0rRCGRg5bWYaejiQ
はま寿司 鶴見中央店 Hamazushi Tsurumi Chuo,神奈川県横浜市鶴見区鶴見中央3－9－3,35.5114503,139.6849159,4.3,96.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%AF%E3%81%BE%E5%AF%BF%E5%8F%B8-%E9%B6%B4%E8%A6%8B%E4%B8%AD%E5%A4%AE%E5%BA%97-hamazushi-tsurumi-chuo/t0shIQa8Ro6ePYEgmt3AhQ
松屋 矢向店 Matsuya Yako,神奈川県横浜市鶴見区矢向6-5-8 Kanagawa,35.53886120000001,139.6803407,4.5,26.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E6%9D%BE%E5%B1%8B-%E7%9F%A2%E5%90%91%E5%BA%97-matsuya-yako/3j7y3qIRT4iIKAcNHf8Itg
吉野家 川崎西口店 Yoshinoya KAWASAKI-NISHIGUCHI,神奈川県川崎市幸区中幸町４丁目５１,35.531752252521635,139.69239829602336,4.5,154.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E5%90%89%E9%87%8E%E5%AE%B6-%E5%B7%9D%E5%B4%8E%E8%A5%BF%E5%8F%A3%E5%BA%97-yoshinoya-kawasaki-nishiguchi/qWe0tAzxQ_aXnZ68Yo4DHw
すき家 川崎駅前大通り店 Sukiya Kawasaki Ekimae Oodori,川崎市川崎区砂子2-6-27 横山ﾋﾞﾙ1F,35.5286783,139.6999958,4.2,132.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%99%E3%81%8D%E5%AE%B6-%E5%B7%9D%E5%B4%8E%E9%A7%85%E5%89%8D%E5%A4%A7%E9%80%9A%E3%82%8A%E5%BA%97-sukiya-kawasaki-ekimae-oodori/DQK3fLUKQ46C8ENsbzqvZg
元気寿司 川崎駅前大通店 Genki Sushi KAWASAKI EKIMAE ODORI,神奈川県川崎市川崎区砂子2-6-22 大和ビル1F,35.528834,139.69996799999998,4.4,21.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E5%85%83%E6%B0%97%E5%AF%BF%E5%8F%B8-%E5%B7%9D%E5%B4%8E%E9%A7%85%E5%89%8D%E5%A4%A7%E9%80%9A%E5%BA%97-genki-sushi-kawasaki-ekimae-odori/BP-ABABoToyg6GBvrarq5A
美山飯店 Miyama Restaurant,幸区中幸町４－４６  アーク２マンション １Ｆ Kawasaki,35.5321691,139.6919534,4.4,25.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E7%BE%8E%E5%B1%B1%E9%A3%AF%E5%BA%97-miyama-restaurant/31BlXbc_RSSkltwiE7HnTg
コキス ロースト チキン Koky’s Roast Chicken,2 Chome-82 Honchōdōri Tsurumi-Ku Yokohama-Shi Kanagawa-Ken  Japan,35.50205379999999,139.6831483,4.7,73.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%B3%E3%82%AD%E3%82%B9-%E3%83%AD%E3%83%BC%E3%82%B9%E3%83%88-%E3%83%81%E3%82%AD%E3%83%B3-kokys-roast-chicken/RXUJUeorRnWXlbbz3L0pkg
ラ・パウザ 川崎モアーズ店 La Pausa Kawasaki More's,神奈川県川崎市川崎区駅前本町7  岡田屋ﾓｱｰｽﾞ7F,35.5306627,139.69935690000003,3.8,81.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%A9%E3%83%BB%E3%83%8F%E3%82%A6%E3%82%B5-%E5%B7%9D%E5%B4%8E%E3%83%A2%E3%82%A2%E3%83%BC%E3%82%B9%E5%BA%97-la-pausa-kawasaki-mores/7fMBadmFQcC3I-YVZdbfnQ
エベレストキッチン EVEREST KITCHEN,18 Enokichō Kawasaki-Ku Kawasaki-Shi Kanagawa-ken,35.52988,139.70531100000002,4.5,67.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%A8%E3%83%98%E3%83%AC%E3%82%B9%E3%83%88%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-everest-kitchen/QLya8ShnQHOGiEShkjm3tg
やきとりセンター 川崎リバーク店 Yakitori Center Kawasaki Riverk,神奈川県川崎市川崎区駅前本町12-1 リバーク川崎B1F,35.53198620000001,139.69854030000002,4.5,60.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%84%E3%81%8D%E3%81%A8%E3%82%8A%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC-%E5%B0%8F%E4%BC%9D%E9%A6%AC%E7%94%BA%E9%A7%85%E5%89%8D%E5%BA%97-yakitori-center-kondenmacho-ekimae/Wq1DWLmsRsiIwm8XNSHSKQ
中華料理 観行雲 Chinese Restaurant Kankoun,Kawasaki-Ku Isago 2 Chome 川崎市川崎区 神奈川県,35.52926,139.69992,4.4,82.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E4%B8%AD%E8%8F%AF%E6%96%99%E7%90%86-%E8%A6%B3%E8%A1%8C%E9%9B%B2-chinese-restaurant-kankoun/j_-IgsIfSYqVwVzjjfP-Cg
スシローコノミ 川崎ルフロン店 Sushiro Conomi KAWASAKI Le FRONT,神奈川県川崎市川崎区日進町1-11 川崎ルフロン２Ｆ,35.52959910000001,139.69639080000002,3.8,39.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%B9%E3%82%B7%E3%83%AD%E3%83%BC%E3%82%B3%E3%83%8E%E3%83%9F-%E5%B7%9D%E5%B4%8E%E3%83%AB%E3%83%95%E3%83%AD%E3%83%B3%E5%BA%97-sushiro-conomi-kawasaki-le-front/MWdc3wmmQKSfoRr1H3pmlw
すき家 川崎新川通り店 Sukiya Kawasaki Shinkawa-Dori,川崎市川崎区渡田1-17-5 石田ﾋﾞﾙ1f,35.5229818,139.7098368,4.5,102.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%99%E3%81%8D%E5%AE%B6-%E5%B7%9D%E5%B4%8E%E6%96%B0%E5%B7%9D%E9%80%9A%E3%82%8A%E5%BA%97-sukiya-kawasaki-shinkawa-dori/ZDl8ghBkRCeG6zhcRErZsw
韓国料理居酒屋思い出の7080 Korea Food Memories 7080,川崎市川崎区東田町3-4 高木ビル12地下1階 Yokohama,35.52890520000001,139.7015281,4.6,136.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E9%9F%93%E5%9B%BD%E6%96%99%E7%90%86%E5%B1%85%E9%85%92%E5%B1%8B%E6%80%9D%E3%81%84%E5%87%BA%E3%81%AE7080-korea-food-memories-7080/I3mJ2x8UTzuGWRkkCSP-GQ
大戸屋ごはん処  鶴見西口店 Ootoya Tsurumi Nishiguchi,神奈川県横浜市鶴見区豊岡町2-2 ツルミフーガ2 2F,35.508875,139.675576,4.3,142.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E5%A4%A7%E6%88%B8%E5%B1%8B%E3%81%93%E3%81%AF%E3%82%93%E5%87%A6-%E9%B6%B4%E8%A6%8B%E8%A5%BF%E5%8F%A3%E5%BA%97-ootoya-tsurumi-nishiguchi/gyPkCVe2QyGXYrfUoB13eg
アリトル 鶴見店 A'LITTLE TSURUMI,神奈川県横浜市鶴見区豊岡町2-1 ツルミフ-ガ1-1F Kanagawa,35.5085208,139.6751081,4.5,126.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%A2%E3%83%AA%E3%83%88%E3%83%AB-%E9%B6%B4%E8%A6%8B%E5%BA%97-alittle-tsurumi/N_WI0m7AQjWJxVUzPXDZpg
魚丼 川崎大師店 Uodon Kawasakitaishiten,川崎市川崎区藤崎1-21-3,35.52939514245639,139.7210549614675,4.6,385.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E9%AD%9A%E4%B8%BC-%E5%B7%9D%E5%B4%8E%E5%A4%A7%E5%B8%AB%E5%BA%97-uodon-kawasakitaishiten/KgtIabK_R9aHQ_NLQw1OFQ
牛タン圭助 川崎仲見世通り Gyutan Keisuke KAWASAKI NAKAMISEDORI,神奈川県川崎市川崎区砂子2-6-6 天喜味ビル1F,35.5291,139.700004,3.9,121.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E7%89%9B%E3%82%BF%E3%83%B3%E5%9C%AD%E5%8A%A9-%E5%B7%9D%E5%B4%8E%E4%BB%B2%E8%A6%8B%E4%B8%96%E9%80%9A%E3%82%8A-gyutan-keisuke-kawasaki-nakamisedori/cIC2uZ-QTw24iLdM6-3LNg
松屋 川崎銀座街店 Matsuya Kawasaki Ginzagai,神奈川県川崎市川崎区砂子1-1-7 川崎銀座共同ﾋﾞﾙ,35.53140399999999,139.700757,3.7,41.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E6%9D%BE%E5%B1%8B-%E5%B7%9D%E5%B4%8E%E9%8A%80%E5%BA%A7%E8%A1%97%E5%BA%97-matsuya-kawasaki-ginzagai/yThPdmhBQyOln-60TEoV0g
チャタイム 川崎チネチッタ通り店 Chatime Kawasakichinechittatori,神奈川県川崎市川崎区小川町1-7,35.52888008774672,139.69861531496,4.6,390.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%81%E3%83%A3%E3%82%BF%E3%82%A4%E3%83%A0-%E5%B7%9D%E5%B4%8E%E3%83%81%E3%83%8D%E3%83%81%E3%83%83%E3%82%BF%E9%80%9A%E3%82%8A%E5%BA%97-chatime-kawasakichinechittatori/Ehk8WB5sRhWbAIManP3DRw
天丼てんや 川崎アゼリア Tendon tenya Kawasaki Azalea,神奈川県川崎市川崎区駅前本町26番2号 ｶﾜｻｷｱｾﾞﾘｱ内 Kanagawa,35.531365,139.696889,4.3,93.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E5%A4%A9%E4%B8%BC%E3%81%A6%E3%82%93%E3%82%84-%E5%B7%9D%E5%B4%8E%E3%82%A2%E3%82%BB%E3%83%AA%E3%82%A2-tendon-tenya-kawasaki-azalea/5R_7L6KkT5C0PqemAk6g7Q
ガスト 川崎大師店 Gusto Kawasaki Taishi,神奈川県川崎市川崎区四谷上町２８－１５,35.52551060000001,139.7348071,4.4,63.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AB%E3%82%B9%E3%83%88-%E5%B7%9D%E5%B4%8E%E5%A4%A7%E5%B8%AB%E5%BA%97-gusto-kawasaki-taishi/EWYk6JdCRa2CST-eXby7JQ
