id,address,close_hour,latitude,longitude,name,open_hour,point,postal_code,reviews,url
61mzZfTRS6W0eqnrKPc-0w,神奈川県川崎市中原区木月３ー６ー２３,20:30,35.565465100000004,139.6506534,サーティワン アイスクリーム 元住吉ブレーメン通り店 31 IceCream Motosumiyoshi Bremen-dori,11:30,4.7,211-0025,42.0,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%B5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%AF%E3%83%B3-%E3%82%A2%E3%82%A4%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0-%E5%85%83%E4%BD%8F%E5%90%89%E3%83%95%E3%83%AC%E3%83%BC%E3%83%A1%E3%83%B3%E9%80%9A%E3%82%8A%E5%BA%97-31-icecream-motosumiyoshi-bremen-dori/61mzZfTRS6W0eqnrKPc-0w/
j53TCiGnTcWwU2GcqGPIPw,Nakahara-Ku Kizuki 4 Chome−22 Kawasaki-Shi Kanagawa-ken,22:30,35.558363,139.657382,インドダイニングアリア Indian Dining Aria,11:00,4.6,211-0025,200.0,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%A4%E3%83%B3%E3%83%88%E3%82%BF%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%AF%E3%82%A2%E3%83%AA%E3%82%A2-indian-dining-aria/j53TCiGnTcWwU2GcqGPIPw/
ZOpn0H8qSO2MyzA3D3QxNg,Nakahara-Ku Kamishinjō 2 Chome−6 Kawasaki-Shi Kanagawa-ken,22:30,35.58813320000001,139.6308301,エビン 武蔵新城店 yabin musashishinjo,10:45,4.6,211-0045,176.0,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%A8%E3%83%92%E3%83%B3-%E6%AD%A6%E8%94%B5%E6%96%B0%E5%9F%8E%E5%BA%97-yabin-musashishinjo/ZOpn0H8qSO2MyzA3D3QxNg/
o8dBnKBkSPenQ1THw9L7rA,3 Chome-13-30 Kizuki Nakahara-Ku 店舗 ２Ｆ,22:00,35.565278,139.64915,サパナマハル Sapana Mahal,11:00,4.5,,131.0,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%B5%E3%83%8F%E3%83%8A%E3%83%9E%E3%83%8F%E3%83%AB-sapana-mahal/o8dBnKBkSPenQ1THw9L7rA/
f04inyWhQQqpHmxltqF1QQ,1 Chome-11-22 Tsunashimanishi Kōhoku-Ku Yokohama-Shi Kanagawa-ken,22:00,35.53687479999999,139.6338467,野郎ラーメン綱島店 Yaro Ramen Tsunashima,11:00,,223-0053,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E9%87%8E%E9%83%8E%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E7%B6%B1%E5%B3%B6%E5%BA%97-yaro-ramen-tsunashima/f04inyWhQQqpHmxltqF1QQ/
lVAPMJMkRiGoMySlG0E90Q,神奈川県川崎市中原区小杉町3-430-1,23:00,35.574352000000005,139.65854,牛タン圭助 武蔵小杉 Gyutan Keisuke MUSASHIKOSUGI,14:00,4.4,211-0063,238.0,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E7%89%9B%E3%82%BF%E3%83%B3%E5%9C%AD%E5%8A%A9-%E6%AD%A6%E8%94%B5%E5%B0%8F%E6%9D%89-gyutan-keisuke-musashikosugi/lVAPMJMkRiGoMySlG0E90Q/
RKFwXNT-TAGI3vtmkCK5sA,港北区綱島西２－７－３０,21:00,35.53695327798801,139.6320290070374,海野屋 uminoya,12:00,,,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E6%B5%B7%E9%87%8E%E5%B1%8B-uminoya/RKFwXNT-TAGI3vtmkCK5sA/
j1vGgApiQBajMO-AfY6fjw,神奈川県川崎市高津区子母口496-1,21:00,35.5729162,139.6317033,大分中津 からあげ大臣 子母口店 Karaage Daijin SHIBOKUCHI,11:00,,213-0023,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E5%A4%A7%E5%88%86%E4%B8%AD%E6%B4%A5-%E3%81%8B%E3%82%89%E3%81%82%E3%81%91%E5%A4%A7%E8%87%A3-%E5%AD%90%E6%AF%8D%E5%8F%A3%E5%BA%97-karaage-daijin-shibokuchi/j1vGgApiQBajMO-AfY6fjw/
GoROWKG1Q9OOG_-xtRZAEA,Kamihirama Nakahara-Ku Kawasaki-Shi Kanagawa-ken,22:30,35.5603404,139.67367230000002,エベレストキッチン EVEREST KITCHEN,11:00,,211-0013,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%A8%E3%83%98%E3%83%AC%E3%82%B9%E3%83%88%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-everest-kitchen/GoROWKG1Q9OOG_-xtRZAEA/
38unxV64RZaPHUfiIImfXw,2 Chome-5-14 Kizuki Nakahara-Ku Kawasaki-Shi Kanagawa-ken,23:00,35.564609000000004,139.654913,ロッコマン 元住吉店 ROCCOMAN Motosumiyoshi,11:30,,211-0025,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%AD%E3%83%83%E3%82%B3%E3%83%9E%E3%83%B3-%E5%85%83%E4%BD%8F%E5%90%89%E5%BA%97-roccoman-motosumiyoshi/38unxV64RZaPHUfiIImfXw/
5nFflewOQamARsk7zpu2yg,693 Kitayachō Nakahara-Ku Kawasaki-Shi Kanagawa-Ken  Japan,23:00,35.5636899,139.6700864,腹ペコ Harapeko,11:00,,211-0015,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E8%85%B9%E3%83%98%E3%82%B3-harapeko/5nFflewOQamARsk7zpu2yg/
HBHf3LlySaS62oDSch-iMQ,川崎市高津区 新作3-16-7-102 石井ビル1F Kawasaki,21:00,35.587086299999996,139.6183705,マナスル キッチン Manaslu Kitchen,11:00,,213-0014,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%9E%E3%83%8A%E3%82%B9%E3%83%AB-%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-manaslu-kitchen/HBHf3LlySaS62oDSch-iMQ/
K8LO4E7NTtWnReD54zh9uQ,6 Chome-3-5 Yakō Tsurumi-Ku Yokohama-Shi Kanagawa-ken,22:00,35.537383,139.6802,グルン アジアン料理＆バー GURUNG ASIANRYOURI&BAR,11:00,,230-0001,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%AF%E3%83%AB%E3%83%B3-%E3%82%A2%E3%82%B7%E3%82%A2%E3%83%B3%E6%96%99%E7%90%86%26%E3%83%8F%E3%83%BC-gurung-asianryouri%26bar/K8LO4E7NTtWnReD54zh9uQ/
CC9l5P_ITA2yAzB0-N95Ug,神奈川県川崎市高津区子母口496-1,20:30,35.5729162,139.6317033,小僧寿し 子母口店 Kozo Sushi SHIBOGUCHI,10:30,,213-0023,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E5%B0%8F%E5%83%A7%E5%AF%BF%E3%81%97-%E5%AD%90%E6%AF%8D%E5%8F%A3%E5%BA%97-kozo-sushi-shiboguchi/CC9l5P_ITA2yAzB0-N95Ug/
QcWpUU6ETNKb0nsGa3LEkA,1 Chome-6-2 Tsunashimahigashi Kōhoku-Ku Yokohama-Shi Kanagawa-Ken  Japan,19:30,35.53632,139.635199,ミソイ Misoy,11:30,,223-0052,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%9F%E3%82%BD%E3%82%A4-misoy/QcWpUU6ETNKb0nsGa3LEkA/
7k_oIXXPR02C3VdZNrMenQ,中原区木月３－８－２２ 鈴木水産ビルＢ１－Ｂ Kawasaki,22:30,35.565504,139.649158,インドおつまみ シリス 元住吉店 Indian Snacks Shirish Motosumiyoshi,11:00,,211-0025,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%A4%E3%83%B3%E3%83%88%E3%81%8A%E3%81%A4%E3%81%BE%E3%81%BF-%E3%82%B7%E3%83%AA%E3%82%B9-%E5%85%83%E4%BD%8F%E5%90%89%E5%BA%97-indian-snacks-shirish-motosumiyoshi/7k_oIXXPR02C3VdZNrMenQ/
esRDHyzyTbeDVsICyJ_Sww,Nakahara-Ku Kizuki 3 Chome−8 Kawasaki-Shi Kanagawa-ken,22:30,35.565504,139.649158,シリス 元住吉店 Shirish Motosumiyoshi,11:00,,211-0025,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%B7%E3%83%AA%E3%82%B9-%E5%85%83%E4%BD%8F%E5%90%89%E5%BA%97-shirish-motosumiyoshi/esRDHyzyTbeDVsICyJ_Sww/
C4Sotkg0STygFGkCGDr1QA,横浜市港北区綱島西2-6-26 Yokohama,22:00,35.5365804,139.6327075,華星 麺専門 Kasei Noodle Shop,13:00,,223-0053,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E8%8F%AF%E6%98%9F-%E9%BA%BA%E5%B0%82%E9%96%80-kasei-noodle-shop/C4Sotkg0STygFGkCGDr1QA/
o6QwO0EHRXCsY9zlK8uHbQ,川崎市中原区 木月3-10-20  永塚ビル1F Kawasaki,18:30,35.565563299999994,139.6479591,リップル Ripple,10:00,4.7,211-0025,21.0,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%AA%E3%83%83%E3%83%95%E3%83%AB-ripple/o6QwO0EHRXCsY9zlK8uHbQ/
BoP6ZXQKRVyIptmPLXB3Sg,神奈川県川崎市中原区上平間1700-125 Kanagawa,21:00,35.559631599999996,139.6754851,博多名物 元祖肉肉うどん 平間 Ganso Nikuniku Udon Hirama,11:00,,211-0013,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E5%8D%9A%E5%A4%9A%E5%90%8D%E7%89%A9-%E5%85%83%E7%A5%96%E8%82%89%E8%82%89%E3%81%86%E3%81%A8%E3%82%93-%E5%B9%B3%E9%96%93-ganso-nikuniku-udon-hirama/BoP6ZXQKRVyIptmPLXB3Sg/
77pDX-gtQoSbqiE9wtXohA,1 Chome-772-5 Shinmarukohigashi Nakahara-Ku Kawasaki-Shi Kanagawa-ken,23:00,35.580601,139.66225,ロッコマン 新丸子店 ROCCOMAN Shinmaruko,11:30,4.4,211-0004,12.0,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%AD%E3%83%83%E3%82%B3%E3%83%9E%E3%83%B3-%E6%96%B0%E4%B8%B8%E5%AD%90%E5%BA%97-roccoman-shinmaruko/77pDX-gtQoSbqiE9wtXohA/
